Category;Component;Specification;List price;;
GPU;Nvidia H200 NVL;Powered by the NVIDIA Hopper architecture, the H200 NVL delivers exceptional performance for AI inference, training, and HPC workloads. It features 141 GB of ultra-fast HBM3e memory with 4.8 TB/s bandwidth, PCIe Gen5 connectivity, and NVLink support for multi-GPU scaling. Designed for enterprise data centers, it offers up to 600 W TDP, MIG partitioning, and full compatibility with NVIDIA AI Enterprise software.;23.166,34;;
GPU;Nvidia RTX 6000 Blackwell Server Edition;Built on the Blackwell architecture, this server-grade GPU offers 96 GB GDDR7 ECC memory, PCI-Express Gen5 x16 interface, and up to 600 W configurable power draw. With 24,064 CUDA cores, next-gen Tensor & RT cores, and support for Multi-Instance GPU (up to 4 MIGs @ 24 GB), it’s optimized for AI inference, rendering, virtualization / vGPU workflows, and 24/7 data-centre operation. Passively cooled for enterprise systems.;6.880,00;;
GPU;ZOTAC GAMING GeForce RTX™ 5090;High-performance GPU built on NVIDIA Blackwell architecture with DLSS 4 support. Equipped with 32?GB GDDR7 memory and 21,760 CUDA cores, delivering extreme power for demanding gaming, AI, and professional workloads. Supports 4K+ resolutions and real-time ray tracing. Requires 575?W GPU power, recommended system PSU ?1000?W. Available with air cooling or 360?mm AIO liquid cooling for quieter operation and improved thermal performance.;2.000,00;;
CPU;AMD EPYC 9355P (32 Cores, 280 W) for 2 GPU;Server-class processor from the AMD EPYC 9004 “Genoa” family, based on the Zen 4 architecture. Features 32 cores / 64 threads, a 3.25 GHz base and up to 3.75 GHz boost clock, with support for 12-channel DDR5 memory and 128 PCIe 5.0 lanes. Ideal for single-socket servers (P-series) requiring strong compute density, efficiency, and scalability for AI, virtualization, and enterprise workloads.;2.093,24;;
CPU;AMD EPYC 9555P (64 Cores, 360 W) for 4 GPUs;Enterprise-grade CPU from the AMD EPYC 9004 “Genoa” series, built on the advanced Zen 4 architecture. Delivers 64 cores / 128 threads, with a 2.4 GHz base and up to 3.75 GHz boost frequency. Supports 12-channel DDR5 memory and 128 PCIe 5.0 lanes, offering outstanding performance for AI, cloud, and virtualization workloads. Optimized for single-socket (P-series) server configurations.;2.150,00;;
CPU ;AMD EPYC 9655P (96 Cores, 400 W) for 6 GPUs;"AMD EPYC 9655P, a high-performance processor from AMD's 5th generation EPYC 9005 series, codenamed ""Turin."". This processor is built on AMD's Zen 5 architecture and is designed for single-socket (1P) server configurations, offering exceptional performance for data centers and high-performance computing tasks. Cores/Threads: 96 cores and 192 threads. Base Clock Speed: 2.6 GHz. Max Boost Clock: Up to 4.5 GHz. L3 Cache: 384 MB. Thermal Design Power (TDP): 400W (default), configurable down to 320W. Socket Compatibility: SP5. Memory Support: 12-channel DDR5, up to 6000 MT/s. PCIe Support: PCIe 5.0 with 128 lanes";2.200,00;;
Memory;Micron 64 GB DDR5 RDIMM server memory;Micron MTC40F2046S1RC64BD2 — 64 GB DDR5 RDIMM high-performance server ECC registered memory module designed for modern server platforms. Supports DDR5-6400 frequencies, uses 1.1 V supply, and configured as dual-rank (2R ×4) RDIMM. Reliable for data-center workloads with error correction and server-optimized design.;264,88;;
Storage OS;Micron 7450 PRO, 1.92 TB NVMe M.2;Micron 7450 PRO, 1.92 TB NVMe M.2 is high-performance enterprise NVMe SSD (M.2 22110 size), ideal for server/workstation builds. Offers 1.92 TB capacity, PCIe 4.0 x4 interface, and read-intensive workload tuning. Features up to ~5,000 MB/s sequential read and 2,400 MB/s sequential write speeds.;271,33;;
Storage Data;Micron 9550 Pro, 15.36 TB NVMe U.2;High-performance enterprise SSD with PCIe Gen 5 x4 (NVMe). Ideal for data-center workloads. Capacity: 15.36 TB. Interface: PCIe 5.0 ×4 NVMe, U.2 2.5-inch (15 mm) form factor. Performance: Up to 14,000 MB/s sequential read / 10,000 MB/s sequential write. Endurance: 1 DWPD (Read-Intensive class), approx. 28,032 TBW. Power / thermal: Operating temperature 0 °C to 70 °C. Security & features: Supports end-to-end encryption (256-bit AES, Opal), OCP 2.0/2.5 telemetry features;1.019,10;;
Motherboard;ASRock Rack TURIND8X-2T/500W;Enterprise-class SP5 motherboard (SSI-EEB), designed for one AMD EPYC 9005/9004 socket (97×4 series), up to 500 W TDP. Offers 8 × DDR5 DIMM slots (supports RDIMM / 3DS-RDIMM), multiple PCIe 5.0 / CXL2.0 x16 expansion slots, dual 10 GbE LAN, and IPMI remote management. Ideal for high-performance server builds with heavy I/O and multi-GPU or accelerator setups.;1.290,00;;
